опюия кхяр;;;;;;;;;;;
"ннн ""лнрнпкюим""";;;;;;;;;;;
12.03.15;;;;;;;;;;;
;;;;;;;;;;;
йНД;йНД 2;лНДЕКЭ;мЮХЛЕМНБЮМХЕ РНБЮПНБ;аПЩМД;яРПЮМЮ ОПНХГБНДХРЕКЭ;йНКХВЕЯРБН;лХМ. ЙНКХВЕЯРБН;аЮГНБЮЪ ЖЕМЮ ГЮ 1ЬР.;жЕМЮ ЯН ЯЙХДЙНИ -20%;"жЕМЮ ЯН
ЯЙХДЙНИ -25%";юКЭР.МНЛЕПЮ
96336487; ;MATIZ;юлнпрхгюрнп оепедмхи кебши АЕГ юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;3 595,80;2 876,64;2 696,85;
96207646; ;LEGANZA;юлнпрхгюрнп оепедмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;6;1;9 870,90;7 896,72;7 403,18;
95948811; ;CAPTIVA 2.4L;юлнпрхгюрнп оепедмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;11;1;5 241,60;4 193,28;3 931,20;
96336489; ;MATIZ;юлнпрхгюрнп оепедмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;3 716,70;2 973,36;2 787,53;
96639827; ;LEGANZA;юлнпрхгюрнп оепедмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;6 935,50;5 548,40;5 201,63;
95917155; ;AVEO II (2011-);юлнпрхгюрнп оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;4;1;5 125,25;4 100,20;3 843,94;
13402939; ;CRUZE 1.6;юлнпрхгюрнп оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;10;1;5 634,85;4 507,88;4 226,14;
95147610; ;CAPTIVA 2.4 (2011-);юлнпрхгюрнп оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;5;1;7 769,45;6 215,56;5 827,09;
96491214; ;NUBIRA 4 door/H/B;юлнпрхгюрнп оепедмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;9 734,40;7 787,52;7 300,80;
96207647; ;LEGANZA;юлнпрхгюрнп оепедмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;8;1;8 279,05;6 623,24;6 209,29;
95948812; ;CAPTIVA 2.4L;юлнпрхгюрнп оепедмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;17;1;5 373,55;4 298,84;4 030,16;
96980827; ;AVEO (-2006);юлнпрхгюрнп оепедмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;6;1;4 943,25;3 954,60;3 707,44;
96336490; ;MATIZ;юлнпрхгюрнп оепедмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;3 716,70;2 973,36;2 787,53;
96175281; ;ESPERO/NE/LAN/NUB DOHC;аюпюаюм рнплнгмни;CHEVROLET;йнпеъ, пеяосакхйю;4;1;2 605,20;2 084,16;1 953,90;
96316636; ;MATIZ I/II;аюпюаюм рнплнгмни;CHEVROLET;йнпеъ, пеяосакхйю;14;1;3 232,45;2 585,96;2 424,34;
96457238; ;MATIZ II/SPARK (2005-);аюпюаюм рнплнгмни гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;2;1;3 377,40;2 701,92;2 533,05;
95903584; ;AVEO (-2005);аюпюаюм рнплнгмни я юая;CHEVROLET;йнпеъ, пеяосакхйю;4;1;7 636,20;6 108,96;5 727,15;
96808460; ;AVEO (2008-);аювнй цс;CHEVROLET;йнпеъ, пеяосакхйю;2;1;1 066,65;853,32;799,99;
96550797; ;LACETTI 4door (2005-);аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;4;1;1 539,85;1 231,88;1 154,89;
96610419; ;MATIZ II;аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;5;1;1 901,25;1 521,00;1 425,94;
95991491; ;AVEO 4door (2009-);аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;2;1;1 405,95;1 124,76;1 054,46;
13260579; ;CRUZE 4 door;аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;2;1;2 106,00;1 684,80;1 579,50;
95229337; ;AVEO II (2012-);аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;1;1;670,15;536,12;502,61;
13260590; ;CRUZE/ORLANDO/OPEL ASTRA J/ZAFIRA C;аювнй нлшбюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;1;1;2 273,05;1 818,44;1 704,79;
96428796; ;NEXIA SOHC/DOHC;аювнй пюяьхпхрекэмши;CHEVROLET;йнпеъ, пеяосакхйю;2;1;895,70;716,56;671,78;
10467546; ;NEXIA/ES;аецсмнй рпюлак╗пю;CHEVROLET;йнпеъ, пеяосакхйю;3;1;483,60;386,88;362,70;
93740921; ;MATIZ/SPARK;аецсмнй рпюлак╗пю;CHEVROLET;йнпеъ, пеяосакхйю;3;1;325,65;260,52;244,24;
10521233; ;ESPERO/NE/LAN/LEG;аемдхйя;CHEVROLET;йнпеъ, пеяосакхйю;4;1;789,10;631,28;591,83;
96222508; ;NEXIA;акнй сопюбкемхъ оевйни- йнмдхжхнмепнл;CHEVROLET;йнпеъ, пеяосакхйю;1;1;3 276,00;2 620,80;2 457,00;
94501031; ;NEXIA DOHC (08.2002-)/LCTT 1.4-1.6/REZZO 1.6/AVEO 1.4 DOHC (2003-)/NUB I-II/CRUZE 1.6;анкр цаж;CHEVROLET;йнпеъ, пеяосакхйю;29;1;81,90;65,52;61,43;
92139052; ;LACETTI/NUBIRA/EPICA/EVANDA/CAPTIVA/LEGANZA/REZZO;анкр йкюоюммни йпшьйх;CHEVROLET;йнпеъ, пеяосакхйю;10;1;126,75;101,40;95,06;
94500882; ;NEXIA;анкр йпеокемхъ оепедмецн пшвюцю;CHEVROLET;йнпеъ, пеяосакхйю;5;5;192,40;153,92;144,30;
94501248; ;NEXIA;анкр ясоонпрю;CHEVROLET;йнпеъ, пеяосакхйю;8;1;56,55;45,24;42,41;
96562711; ;MATIZ/SPARK;апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;8;1;148,20;118,56;111,15;
96648678; ;AVEO 4door (2006-);апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;24;1;347,75;278,20;260,81;
20918643; ;CAPTIVA;апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;19;1;324,35;259,48;243,26;
96543038; ;AVEO 5door (-2008);апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;1;1;76,70;61,36;57,53;
96543161; ;AVEO 4door (-2006);апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;5;1;20,15;16,12;15,11;
96545637; ;LACETTI 5door;апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;9;1;326,95;261,56;245,21;
96545639; ;LACETTI 4door;апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;10;1;318,50;254,80;238,88;
96282711; ;NEXIA;апшгцнбхй гюдмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;10;1;289,90;231,92;217,43;
20918642; ;CAPTIVA;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;19;1;330,85;264,68;248,14;
96543039; ;AVEO 5door (-2008);апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;9;1;195,65;156,52;146,74;
96543162; ;AVEO 4door (-2006);апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;25;1;287,30;229,84;215,48;
96617616; ;LACETTI WGN;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;2;1;276,90;221,52;207,68;
96545638; ;LACETTI 5door;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;9;1;334,75;267,80;251,06;
96545640; ;LACETTI 4door;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;25;1;346,45;277,16;259,84;
96282712; ;NEXIA;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;5;1;300,95;240,76;225,71;
96648679; ;AVEO 4door (2006-);апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;20;1;315,90;252,72;236,93;
96562712; ;MATIZ/SPARK;апшгцнбхй гюдмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;9;1;152,10;121,68;114,08;
20918641; ;CAPTIVA;апшгцнбхй оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;19;1;512,85;410,28;384,64;
96648536; ;AVEO 4door (2006-);апшгцнбхй оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;10;1;293,80;235,04;220,35;
96542973; ;AVEO 4door (-2007)/5door (-2008);апшгцнбхй оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;6;1;235,30;188,24;176,48;
96545665; ;LACETTI;апшгцнбхй оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;24;1;373,10;298,48;279,83;
96282709; ;NEXIA;апшгцнбхй оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;11;1;414,70;331,76;311,03;
96648537; ;AVEO 4door (2006-);апшгцнбхй оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;7;1;243,75;195,00;182,81;
20918640; ;CAPTIVA;апшгцнбхй оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;24;1;482,30;385,84;361,73;
96542974; ;AVEO 4door (-2007)/5door (-2008);апшгцнбхй оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;6;1;235,30;188,24;176,48;
96545666; ;LACETTI;апшгцнбхй оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;10;1;354,90;283,92;266,18;
96282710; ;NEXIA;апшгцнбхй оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;13;1;421,20;336,96;315,90;
96553241; ;LACETTI;бемрхкърнп йнмдхжхнмепю б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;4;1;5 361,85;4 289,48;4 021,39;
96182264; ;LANOS;бемрхкърнп йнмдхжхнмепю б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;5;1;5 270,20;4 216,16;3 952,65;
96611266; ;MATIZ/SPARK (2003-);бемрхкърнп нукюфдемхъ дбхцюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;5;1;4 999,80;3 999,84;3 749,85;
96314166; ;MATIZ/SPARK 0.8 (1998-);бемрхкърнп нукюфдемхъ дбхцюрекъ;CHEVROLET;йнпеъ, пеяосакхйю;3;1;5 974,80;4 779,84;4 481,10;
96322939; ;MATIZ II;бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;3;1;6 945,90;5 556,72;5 209,43;
96553364; ;LACETTI 1.4-1.6;бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;2;1;5 621,85;4 497,48;4 216,39;
96536666; ;AVEO 1.4 DOHC (-2008);бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;3;1;6 763,90;5 411,12;5 072,93;
96629064; ;CAPTIVA;бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;1;1;16 598,40;13 278,72;12 448,80;
96395500; ;MATIZ II/SPARK (2005-);бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе;CHEVROLET;йнпеъ, пеяосакхйю;5;1;5 413,85;4 331,08;4 060,39;
96183756; ;LANOS;бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе я ю/я;CHEVROLET;йнпеъ, пеяосакхйю;3;1;5 484,05;4 387,24;4 113,04;
96314167; ;MATIZ/SPARK (1998-);бемрхкърнп нукюфдемхъ дбхцюрекъ б яанпе я ю/я;CHEVROLET;йнпеъ, пеяосакхйю;3;1;5 636,15;4 508,92;4 227,11;
94580796; ;NEXIA/ES/NUB/LAN/LEG/AVEO 1.4/EVND;бхкйю бйкчвемхъ яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;10;1;820,95;656,76;615,71;
93742706; ;NEXIA/NUB/LAN 1.5/LCTT 1.6-1.8-REZZO 1.6-AVEO 1.4 DOHC-(2005-);бйкюдшьх йнпеммше+0.25;CHEVROLET;йнпеъ, пеяосакхйю;2;1;2 174,25;1 739,40;1 630,69;
92028817; ;ESPERO SOHC/LEG/NUB-LCTT1.8-2.0/EVND;бйкюдшьх ьюрсммше ярд.;CHEVROLET;йнпеъ, пеяосакхйю;1;1;3 377,40;2 701,92;2 533,05;
96246673; ;LANOS;брскйю юлнпрхгюрнпю;CHEVROLET;йнпеъ, пеяосакхйю;23;1;73,45;58,76;55,09;
96175444; ;LANOS/NE;брскйю юлнпрхгюрнпю;CHEVROLET;йнпеъ, пеяосакхйю;10;1;48,10;38,48;36,08;
90344667; ;NEXIA;брскйю юлнпрхгюрнпю гюдмецн;CHEVROLET;йнпеъ, пеяосакхйю;50;1;102,70;82,16;77,03;
02875013; ;NEXIA/ES;брскйю анкрю оепедмецн ярюахкхгюрнпю;CHEVROLET;йнпеъ, пеяосакхйю;8;1;39,00;31,20;29,25;
96285014; ;AVEO/LANOS/NUBIRA/EPICA/EVANDA/LEGANZA/REZZO;брскйю бхкйх яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;5;1;31,20;24,96;23,40;
01989630; ;NEXIA/ES;брскйю цемепюрнпю;CHEVROLET;йнпеъ, пеяосакхйю;27;1;36,40;29,12;27,30;
94535319; ;AVEO/LANOS/NUBIRA/EPICA/EVANDA/LEGANZA/REZZO;брскйю оедюкх яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;4;1;15,60;12,48;11,70;
96380613; ;MATIZ;брскйю оепедмецн пшвюцю;CHEVROLET;йнпеъ, пеяосакхйю;4;1;185,25;148,20;138,94;
96536642; ;AVEO/MATIZ/SPARK (2005-);брскйю пюдхюрнпю мхфмъъ;CHEVROLET;йнпеъ, пеяосакхйю;3;1;43,55;34,84;32,66;
96191890; ;NEXIA/ES;брскйю ярюахкхгюрнпю;CHEVROLET;йнпеъ, пеяосакхйю;18;1;111,80;89,44;83,85;
96933804; ;LACETTI (2010-)/NUBIRA;брскйю ярюахкхгюрнпю гюдмецн;CHEVROLET;йнпеъ, пеяосакхйю;34;1;144,30;115,44;108,23;
96626251; ;CAPTIVA;брскйю ярюахкхгюрнпю оепедмецн;CHEVROLET;йнпеъ, пеяосакхйю;20;1;235,95;188,76;176,96;
13579666; ;ORLANDO 1.8/CRUZE 1.8/OPEL INSIGNIA;цемепюрнп;CHEVROLET;йнпеъ, пеяосакхйю;1;1;16 370,90;13 096,72;12 278,18;
96866020; ;CAPTIVA 3.2;цемепюрнп;CHEVROLET;йнпеъ, пеяосакхйю;1;1;18 051,80;14 441,44;13 538,85;
96567255; ;MATIZ II 0.8;цемепюрнп;CHEVROLET;йнпеъ, пеяосакхйю;2;1;13 011,70;10 409,36;9 758,78;
96252547; ;NEXIA SOHC/DOHC;цемепюрнп;CHEVROLET;йнпеъ, пеяосакхйю;1;1;13 183,30;10 546,64;9 887,48;
96954113; ;LACETTI 1.4-1.6-1.8 (-2007);цемепюрнп 85A;CHEVROLET;йнпеъ, пеяосакхйю;2;1;12 320,75;9 856,60;9 240,56;
96376400; ;NEXIA/NUB/LAN 1.5/LCTT 1.6/AVEO 1.4 DOHC/CRUZE 1.6;цхдпнйнлоемяюрнп;CHEVROLET;йнпеъ, пеяосакхйю;20;1;726,70;581,36;545,03;
13349009; ;ORLANDO;дюрвхй Aая гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;1;1;1 201,20;960,96;900,90;
13329258; ;CRUZE/ORLANDO/OPEL ASTRA J/ZAFIRA C;дюрвхй Aая оепедмхи;CHEVROLET;йнпеъ, пеяосакхйю;2;1;1 509,95;1 207,96;1 132,46;
96959998; ;AVEO;дюрвхй Aая оепедмхи опюбши;CHEVROLET;йнпеъ, пеяосакхйю;1;1;1 686,75;1 349,40;1 265,06;
25184080; ;LACETTI;дюрвхй бюйсслмши;CHEVROLET;йнпеъ, пеяосакхйю;2;1;1 940,90;1 552,72;1 455,68;
25184081; ;AVEO/LANOS 1.4;дюрвхй бюйсслмши;CHEVROLET;йнпеъ, пеяосакхйю;2;1;2 265,25;1 812,20;1 698,94;
25036834; ;NEXIA/ES;дюрвхй дюбкемхъ люякю;CHEVROLET;йнпеъ, пеяосакхйю;9;1;814,45;651,56;610,84;
96213038; ;NEXIA/ES;дюрвхй дюбкемхъ тпхнмю;CHEVROLET;йнпеъ, пеяосакхйю;1;1;577,20;461,76;432,90;
95216947; ;MATIZ/SPARK 1.0/AVEO 1.2;дюрвхй гюдмецн ундю;CHEVROLET;йнпеъ, пеяосакхйю;9;1;364,65;291,72;273,49;
95028604; ;CAPTIVA (2010-)/CRUZE/ORLANDO/AVEO (2012-);дюрвхй гюдмецн ундю;CHEVROLET;йнпеъ, пеяосакхйю;2;1;433,55;346,84;325,16;
94580175; ;ESPERO/NE/LAN/NUB/LEG/LCTT/AVEO;дюрвхй онкнфемхъ дпняяекэмни гюякнмйх;CHEVROLET;йнпеъ, пеяосакхйю;8;1;2 424,50;1 939,60;1 818,38;
93740916; ;MATIZ/SPARK (1998-);дюрвхй онкнфемхъ дпняяекэмни гюякнмйх;CHEVROLET;йнпеъ, пеяосакхйю;1;1;2 221,70;1 777,36;1 666,28;
96434780; ;LACETTI 1.4-1.6-1.8/AVEO 1.4 (2006-)/CRUZE 1.6;дюрвхй онкнфемхъ йнкембюкю;CHEVROLET;йнпеъ, пеяосакхйю;1;1;1 766,05;1 412,84;1 324,54;
55567243; ;CRUZE 1.6/ORLANDO 1.8/OPEL ASTRA J/ZAFIRA C/INSIGNIA/MOKKA;дюрвхй онкнфемхъ йнкембюкю;CHEVROLET;йнпеъ, пеяосакхйю;1;1;3 994,90;3 195,92;2 996,18;
55565708; ;ORLANDO 1.8/CRUZE 1.6/1.8/OPEL;дюрвхй онкнфемхъ пюяопедбюкю босяй;CHEVROLET;йнпеъ, пеяосакхйю;3;1;1 935,05;1 548,04;1 451,29;
55565709; ;ORLANDO 1.8/CRUZE 1.6/1.8/OPEL;дюрвхй онкнфемхъ пюяопедбюкю бшосяй;CHEVROLET;йнпеъ, пеяосакхйю;3;1;1 935,05;1 548,04;1 451,29;
55563375; ;ORLANDO 1.8/CRUZE 1.6/1.8/OPEL;дюрвхй пюяундю бнгдсую;CHEVROLET;йнпеъ, пеяосакхйю;1;1;2 126,15;1 700,92;1 594,61;
93741837; ;LACETTI 1.6 A/T;дюрвхй яйнпнярх;CHEVROLET;йнпеъ, пеяосакхйю;1;1;6 910,80;5 528,64;5 183,10;
96312343; ;MATIZ/SPARK/NUBIRA/LEGANZA;дюрвхй ярно яхцмюкю;CHEVROLET;йнпеъ, пеяосакхйю;1;1;226,85;181,48;170,14;
95368629; ;LACETTI/NUBIRA/REZZO;дюрвхй ярно яхцмюкю;CHEVROLET;йнпеъ, пеяосакхйю;4;1;480,35;384,28;360,26;
95025043; ;NEXIA/NUB;дюрвхй релоепюрспш;CHEVROLET;йнпеъ, пеяосакхйю;5;1;626,60;501,28;469,95;
25037223; ;NEXIA SOHC/DOHC;дюрвхй релоепюрспш бнгдсую;CHEVROLET;йнпеъ, пеяосакхйю;1;1;911,30;729,04;683,48;
96098514; ;ESPERO/NE;дюрвхй спнбмъ рнокхбю;CHEVROLET;йнпеъ, пеяосакхйю;3;1;1 452,10;1 161,68;1 089,08;
10470197; ;NEXIA/ES;дюрвхй ункю;CHEVROLET;йнпеъ, пеяосакхйю;2;1;451,10;360,88;338,33;
96625636; ;CAPTIVA 2.4 (2007-);дхяй яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;4;1;6 110,00;4 888,00;4 582,50;
96407628; ;LACETTI 1.8 (2005-)/NUB I-II 2.0 SOHC;дхяй яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;4;1;3 769,35;3 015,48;2 827,01;
96408517; ;LACETTI 1.4-1.6 (2005-);дхяй яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;8;1;4 209,40;3 367,52;3 157,05;
96612552; ;MATIZ II 0.8;дхяй яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;3;1;2 956,20;2 364,96;2 217,15;
25192482; ;ORLANDO 1.8/CRUZE 1.8/LACETTI/NUBIRA/LEGANZA/REZZO;дхяй яжеокемхъ;CHEVROLET;йнпеъ, пеяосакхйю;8;1;5 532,15;4 425,72;4 149,11;
96468826; ;LANOS/NUB 1.5-1.6 DOHC/AVEO 1.4/REZZO;"дхяй яжеокемхъ 8.5""";CHEVROLET;йнпеъ, пеяосакхйю;2;1;4 470,70;3 576,56;3 353,03;
96549630; ;LACETTI (2005-);дхяй рнплнгмни гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;2;1;3 948,75;3 159,00;2 961,56;
96549782; ;LACETTI;дхяй рнплнгмни оепедмхи;CHEVROLET;йнпеъ, пеяосакхйю;15;1;4 101,50;3 281,20;3 076,13;
96471274; ;AVEO (2003-);дхяй рнплнгмни оепедмхи;CHEVROLET;йнпеъ, пеяосакхйю;6;1;2 869,10;2 295,28;2 151,83;
96625948; ;CAPTIVA;дхяй рнплнгмни оепедмхи;CHEVROLET;йнпеъ, пеяосакхйю;6;1;4 433,65;3 546,92;3 325,24;
96179110; ;NEXIA/ES/LAN DOHC;"дхяй рнплнгмни оепедмхи 14""";CHEVROLET;йнпеъ, пеяосакхйю;8;1;3 643,90;2 915,12;2 732,93;
13502045; ;CRUZE/AVEO III/OPEL ASTRA J;"дхяй рнплнгмни оепедмхи 15""";CHEVROLET;йнпеъ, пеяосакхйю;2;1;3 448,90;2 759,12;2 586,68;
13502052; ;CRUZE/OPEL ASTRA J;"дхяй рнплнгмни оепедмхи 16""";CHEVROLET;йнпеъ, пеяосакхйю;25;1;4 891,25;3 913,00;3 668,44;
96611858; ;MATIZ II;гюлйнб йнлокейр;CHEVROLET;йнпеъ, пеяосакхйю;9;1;2 912,00;2 329,60;2 184,00;
96213542; ;LANOS 4door;гюлйнб йнлокейр;CHEVROLET;йнпеъ, пеяосакхйю;2;1;2 346,50;1 877,20;1 759,88;
531318; ;NEXIA/ES;гюлнй гюфхцюмхъ;CHEVROLET;йнпеъ, пеяосакхйю;2;1;2 222,35;1 777,88;1 666,76;
96280190; ;MATIZ;гюлнй йюонрю;CHEVROLET;йнпеъ, пеяосакхйю;4;1;231,40;185,12;173,55;
96209546; ;NEXIA;гюлнй оепедмеи кебни дбепх;CHEVROLET;йнпеъ, пеяосакхйю;3;1;925,60;740,48;694,20;
96818113; ;CAPTIVA (2007-);гепйюкн мюпсфмне кебне щкейрпхвеяйне я нанцпебнл/онбрнпхрекел;CHEVROLET;йнпеъ, пеяосакхйю;1;1;14 378,65;11 502,92;10 783,99;
96818114; ;CAPTIVA (2007-);гепйюкн мюпсфмне опюбне щкейрпхвеяйне я нанцпебнл/онбрнпхрекел;CHEVROLET;йнпеъ, пеяосакхйю;2;1;15 543,45;12 434,76;11 657,59;
25182496; ;LACETTI 1.8 (-2005)/AVEO 1.4 (2005-)/EVND/MATIZ 1.0/SPARK/CAPTIVA 2.4/CRUZE 1.6;йюрсьйю гюфхцюмхъ;CHEVROLET;йнпеъ, пеяосакхйю;13;1;4 312,10;3 449,68;3 234,08;
96453420; ;LACETTI 1.4-1.6 (2005-);йюрсьйю гюфхцюмхъ;CHEVROLET;йнпеъ, пеяосакхйю;15;1;4 977,05;3 981,64;3 732,79;
96336522; ;MATIZ II;йюрсьйю гюфхцюмхъ;CHEVROLET;йнпеъ, пеяосакхйю;5;1;2 543,45;2 034,76;1 907,59;
01115467; ;NEXIA/ES;йюрсьйю гюфхцюмхъ;CHEVROLET;йнпеъ, пеяосакхйю;5;1;1 788,80;1 431,04;1 341,60;
90215492; ;NEXIA;йкюоюм босяймни;CHEVROLET;йнпеъ, пеяосакхйю;2;1;364,65;291,72;273,49;
