;;;;;;;;;;;;;;;;4
;HONDA/ACURA;;;;;;;;;;;;;;;1
;ACURA MDX  (01-05);;;;;;;;;;;;;;;2
28253;ACMDX07-000-L            ;33151STXA11;07-08;MDX тюпю кеб (sport) (USA);10460;;;;;327-1102L-USH2;;;;;;3
18213;ACMDX04-000-L            ;33151S3VA11;04-05;MDX тюпю кеб (USA);3973;;;;;;;;;;;3
19800;ACMDX01-000-L            ;33151S3VA01;01-03;MDX тюпю кеб (USA);2988;;;;;317-1130L-US;;;;;;3
28254;ACMDX07-000-R            ;33101STXA11;07-08;MDX тюпю опюб (sport) (USA);10460;;;;;327-1102R-USH2;;;;;;3
18214;ACMDX04-000-R            ;33101S3VA11;04-05;MDX тюпю опюб (USA);3908;;;;;;;;;;;3
19802;ACMDX01-000-R            ;33101S3VA01;01-03;MDX тюпю опюб (USA);2988;;;;;317-1130R-US;;;;;;3
24046;ACMDX01-100B             ;71120S3VA00;01-03;MDX пеьерйю пюдхюрнпю вепм;534;;;;;;;;;;;3
24045;ACMDX01-160X             ;04711S3VA90ZZ;01-03;MDX аюлоеп оепедм цпсмр;7638;;;;;;;;;;;3
24052;ACMDX01-240              ;71130S3VA00ZZ;01-;MDX сяхкхрекэ аюлоепю оепедм;1375;;;;;;;;;;;3
24047;ACMDX01-270-L            ;60261S3VA90ZZ;01-06;MDX йпшкн оепедм кеб;5575;;;;;;;;;;;3
24048;ACMDX01-270-R            ;60211S3VA90ZZ;01-06;MDX йпшкн оепедм опюб;5575;;;;;;;;;;;3
24049;ACMDX01-330              ;60100S3VA91ZZ;01-06;MDX йюонр;7548;;;;;;;;;;;3
24051;ACMDX01-380              ;60400S3VA00ZZ;01-;MDX ясоонпр пюдхюрнпю;7867;;;;;;;;;;;3
23810;ACMDX01-640              ;04715S3VA90ZZ;01-03;MDX аюлоеп гюдм (USA) (НПХЦХМЮК);12944;;;;;;;;;;;3
23945;ACMDX01-930              ;80100S3VA02/80100S3VA11;01-04;MDX йнмдемяюрнп йнмдхж (USA);2949;;;;;;;;;;;3
;;;;;;;;;;;;;;;;4
;ACURA RDX (07-);;;;;;;;;;;;;;;2
25415;ACRDX07-270-R            ;;07-;RDX йпшкн оепедм опюб;4965;;;;;;;;;;;3
;;;;;;;;;;;;;;;;4
;HONDA  ODYSSEY / SHUTTLE (95-98);;;;;;;;;;;;;;;2
20205;HDSHT95-070-N            ;08V31SX0A00;95-99;SHUTTLE {ODYSSEY} тюпю опнрхбнрсл к+о (йнлокейр);2471;;;;;217-2004P-A;;;;;;3
13748;HDSHT95-160X             ;04711SX0000ZZ;95-99;SHUTTLE {ODYSSEY} аюлоеп оепедм цпсмр;4888;;;;;;;;;;;3
10921;HDSHT95-270-L            ;60261SX0A00ZZ;95-99;SHUTTLE {ODYSSEY} йпшкн оепедм кеб аег нрб о/онбрнпхрекэ;1162;;;;;;;;;;;3
10922;HDSHT95-270-R            ;60211SX0A00ZZ;95-99;SHUTTLE {ODYSSEY} йпшкн оепедм опюб аег нрб о/онбрнпхрекэ я нрб о/юмреммс;1162;;;;;;;;;;;3
11030;HDSHT95-330              ;60100SX0000ZZ;95-99;SHUTTLE {ODYSSEY} йюонр;3208;;;;;;;;;;;3
13509;HDACR94-340-L            ;60170SM4000;94-01;ACCORD {CD/SHUTTLE/PRELUD 92-} оеркъ йюонрю кеб;266;;;;;;;;;;;3
13510;HDACR94-340-R            ;60120SM4000;94-01;ACCORD {CD/SHUTTLE/PRELUD 92-} оеркъ йюонрю опюб;266;;;;;;;;;;;3
17122;HDSHT95-640X             ;04715SX0000ZZ;95-99;SHUTTLE {ODYSSEY} аюлоеп гюдм цпсмр;3548;;;;;;;;;;;3
;;;;;;;;;;;;;;;;4
;HONDA ACCORD (08-) ебпною;;;;;;;;;;;;;;;2
28215;HDACR08-000-L            ;33150TL0G01;08-;ACCORD тюпю кеб о/йнппейрнп;3942;+;;;;217-1166L-LDEM2;;;;;;3
29480;HDACR11-000-L            ;33150TL0G51;11-;ACCORD тюпю кеб о/йнппейрнп;0;;14 яЕМ;;;217-1166L-LEMN2;;;;;;3
28216;HDACR08-000-R            ;33100TL0G01;08-;ACCORD тюпю опюб о/йнппейрнп;3913;+;;;;217-1166R-LDEM2;;;;;;3
29481;HDACR11-000-R            ;33100TL0G51;11-;ACCORD тюпю опюб о/йнппейрнп;0;;14 яЕМ;;;217-1166R-LEMN2;;;;;;3
28301;HDACR08-001-L            ;33151TL0G13;08-;ACCORD тюпю кеб (йяемнм) о/йнппейрнп;4591;;;;;217-1166L-LEHM2;;;;;;3
28302;HDACR08-001-R            ;33151TL0G13;08-;ACCORD тюпю опюб (йяемнм) о/йнппейрнп;4012;;;;;217-1166R-LEHM2;;;;;;3
29200;HDACR08-002-N            ;HD578-B1WCA-D2S;08-;ACCORD тюпю к+о (йнлокейр) рчмхмц (йяемнм) я яберъы нандй (DEVIL EYES) кхмгнбюм EAGLE EYES бмсрпх;0;;;;;;;;;;;3
24464;HDACR08-070-L            ;33950TL0G01;08-;ACCORD тюпю опнрхбнрсл кеб;1241;+;;;;217-2042L-UE;;;;;;3
24465;HDACR08-070-R            ;;08-;ACCORD тюпю опнрхбнрсл опюб;1288;+;;;;217-2042R-UE;;;;;;3
25535;HDACR08-270-L            ;60260TL0G00;08-;ACCORD йпшкн оепедм кеб лерюкк аег нрб о/онбрнпхрекэ;6188;1;17 яЕМ;;;;;;;;;3
25536;HDACR08-270-R            ;60210TL0G00;08-;ACCORD йпшкн оепедм опюб лерюкк аег нрб о/онбрнпхрекэ;5819;1;;;;;;;;;;3
25191;HDACR08-300-L            ;74150TL2A00;08-;ACCORD ондйпшкнй оепедм йпшкю кеб;1058;;24 яЕМ;;;;;;;;;3
25192;HDACR08-300-R            ;74100TL2A00;08-;ACCORD ондйпшкнй оепедм йпшкю опюб;990;1;;;;;;;;;;3
25534;HDACR08-330              ;60100TL0G00ZZ;08-;ACCORD йюонр лерюкк;8415;+;17 яЕМ;;;;;;;;;3
24529;HDACR08-380              ;60400TL1G00ZZ;08-;ACCORD ясоонпр пюдхюрнпю MT;5115;;;;;;;;;;;3
24813;HDACR08-740-L            ;33550TL0G01;08-;ACCORD тнмюпэ гюдм бмеьм кеб;1503;+;;;;217-1989L-UE;;;;;;3
24814;HDACR08-740-R            ;33500TL0G01;08-;ACCORD тнмюпэ гюдм бмеьм опюб;1503;+;;;;217-1989R-UE;;;;;;3
24680;HDACR08-810-L            ;51520TA0A03;08-;ACCORD пшвюц оепедм ондбеяйх кеб бепум;1025;;;+;7 ДМ;;;;;;;3
24679;HDACR08-810-R            ;51510TA0A03;08-;ACCORD пшвюц оепедм ондбеяйх опюб бепум;1025;;;+;7 ДМ;;;;;;;3
24681;HDACR08-811-L            ;51360TA0A00;08-;ACCORD пшвюц оепедм ондбеяйх кеб мхфм 2 , 2.4;2596;;;+;7 ДМ;;;;;;;3
24682;HDACR08-811-R            ;51350TA0A00;08-;ACCORD пшвюц оепедм ондбеяйх опюб мхфм 2;2596;;;+;7 ДМ;;;;;;;3
29030;HDACR08-812-L            ;51360TA0000;08-;ACCORD пшвюц оепедм ондбеяйх кеб мхфм 2.4;2283;;;;;;;;;;;3
29589;HDACR08-880              ;76841TA0U01;08-;ACCORD аювнй нлшбюрекъ я лнрнп;1254;+;;;;;;;;;;3
24343;HDACR08-910              ;19010RL6R51;08-;ACCORD пюдхюрнп нукюфдем 2.4 AT (KOYO);5190;;;+;7 ДМ;;PL082230;;;;;3
24343;HDACR08-910              ;19010RL6R51;08-;ACCORD пюдхюрнп нукюфдем 2.4 AT (KOYO);5190;;;+;7 ДМ;;PL082230;;;;;3
26025;HDACR08-911              ;19010RL6R51;08-;ACCORD пюдхюрнп нукюфдем 2.4 AT;3084;;;;;;;;;;;3
24786;HDACR08-930              ;80100TL2A01/80100TL1G01;08-;ACCORD йнмдемяюрнп йнмдхж (KOYO);3732;;;;;;CD080417;;;;940114Y;3
29425;HDACR08-931              ;;08-;ACCORD йнмдемяюрнп йнмдхж;0;;;;;;;;;;940114K;3
;;;;;;;;;;;;;;;;4
;HONDA ACCORD CA (86-89);;;;;;;;;;;;;;;2
3000;HDACR86-000-L            ;33150SE3F01;86-89;ACCORD тюпю кеб;879;1;14 яЕМ;;;217-1104L-LD;;;;;;3
3001;HDACR86-000-R            ;33100SE3F01;86-89;ACCORD тюпю опюб;843;1;14 яЕМ;;;217-1104R-LD;;;;;;3
3002;HDACR86-030W-L           ;33650SE3G01;86-89;ACCORD сйюг.онбнпнрю сцкнбни кеб аек;148;+;;;;217-1513L;;;;;;3
3003;HDACR86-030W-R           ;33600SE3G01;86-89;ACCORD сйюг.онбнпнрю сцкнбни опюб аек;180;;;+;7 ДМ;217-1513R;;;;;;3
11528;HDACR86-100B             ;75101SE3000;86-89;ACCORD пеьерйю пюдхюрнпю вепм;356;;;;;;;;;;;3
3004;HDACR86-160B             ;71101SE4A00;86-89;ACCORD аюлоеп оепедм (яедюм) вепм;779;;;;;;;;;;;3
3005;HDACR86-161B             ;71101SE5A00;86-89;ACCORD аюлоеп оепедм (USA) вепм;798;;;;;;;;;;;3
3007;HDACR86-270-L            ;60261SE3G00ZZ;86-89;ACCORD йпшкн оепедм кеб аег нрб о/онбрнпхрекэ;3083;;;;;;;;;;;3
3006;HDACR86-270-R            ;60211SE3G00ZZ;86-89;ACCORD йпшкн оепедм опюб аег нрб о/онбрнпхрекэ;3284;;;;;;;;;;;3
3010;HDACR86-330              ;60100SE3G00ZZ;86-89;ACCORD йюонр;4083;;;;;;;;;;;3
;;;;;;;;;;;;;;;;4
;HONDA ACCORD CB (90-93);;;;;;;;;;;;;;;2
3011;HDACR90-000-L            ;33150SM4G01;90-91;ACCORD тюпю кеб;1176;+;;;;217-1113L-LD;;;;;;3
3013;HDACR92-000-L            ;33150SM4G04;92-93;ACCORD тюпю кеб;1148;+;;;;217-1114L-LD-E;;;;;;3
3012;HDACR90-000-R            ;33100SM4G01;90-91;ACCORD тюпю опюб;1183;1;14 яЕМ;;;217-1113R-LD;;;;;;3
3014;HDACR92-000-R            ;33100SM4G04;92-93;ACCORD тюпю опюб;1101;+;;;;217-1114R-LD-E;;;;;;3
3015;HDACR90-030-L            ;34351SM4G01;90-91;ACCORD сйюг.онбнпнрю сцкнбни кеб;224;;;;;217-1517L-AE;;;;;;3
3017;HDACR92-030-L            ;34350SM4G03;92-93;ACCORD сйюг.онбнпнрю сцкнбни кеб;247;;;+;7 ДМ;217-1518L-AE;;;;;;3
3016;HDACR90-030-R            ;34301SM4G01;90-91;ACCORD сйюг.онбнпнрю сцкнбни опюб;224;+;;;;217-1517R-AE;;;;;;3
3018;HDACR92-030-R            ;34300SM4G03;92-93;ACCORD сйюг.онбнпнрю сцкнбни опюб;247;;;+;7 ДМ;217-1518R-AE;;;;;;3
13197;HDACR90-040-L            ;;90-91;ACCORD сйюг.онбнпнрю мхфм кеб б аюлоеп;223;;;+;7 ДМ;217-1612L-AE;;;;;;3
13198;HDACR90-040-R            ;33302SMAG01;90-91;ACCORD сйюг.онбнпнрю мхфм опюб б аюлоеп;223;;;+;7 ДМ;217-1612R-AE;;;;;;3
10295;HDACR90-100B             ;75101SM4003;90-91;ACCORD пеьерйю пюдхюрнпю аег лнкдхмц вепм;250;;;;;;;;;;;3
14359;HDACR92-100B             ;75101SM4901;92-93;ACCORD пеьерйю пюдхюрнпю аег лнкдхмц вепм;244;;;;;;;;;;;3
3019;HDACR90-100HB            ;75100SM4003;90-91;ACCORD пеьерйю пюдхюрнпю упнл-вепм;396;+;;;;;;;;;;3
10145;HDACR92-100HB            ;75101SM4901;92-93;ACCORD пеьерйю пюдхюрнпю упнл-вепм;413;+;;;;;;;;;;3
10021;HDACR90-160X             ;71101SM4A00ZZ;90-91;ACCORD аюлоеп оепедм цпсмр;957;+;;;;;;;;;;3
12678;HDACR92-160X             ;;92-93;ACCORD аюлоеп оепедм цпсмр;892;;;;;;;;;;;3
3024;HDACR90-160B             ;71101SM4000;90-91;ACCORD аюлоеп оепедм вепм;759;+;;;;;;;;;;3
3025;HDACR92-160B             ;71101SM4A01;92-93;ACCORD аюлоеп оепедм вепм;825;+;17 яЕМ;;;;;;;;;3
3026;HDACR90-240              ;71107SM4A00;90-93;ACCORD сяхкхрекэ аюлоепю оепедм;890;;;;;;;;;;;3
12679;HDACR90-241              ;71130SM4A00;90-93;ACCORD сяхкхрекэ аюлоепю оепедм (USA);498;;;;;;;;;;;3
3020;HDACR90-270-L            ;60261SM4010ZZ;90-93;ACCORD йпшкн оепедм кеб я нрб о/онбрнпхрекэ;848;;;;;;;;;;;3
3021;HDACR90-270-R            ;60211SM4010ZZ;90-93;ACCORD йпшкн оепедм опюб я нрб о/онбрнпхрекэ;848;;;;;;;;;;;3
10685;HDACR90-271-L            ;60261SM4A01ZZ;90-93;ACCORD йпшкн оепедм кеб аег нрб о/онбрнпхрекэ;727;1;;;;;;;;;;3
3022;HDACR90-271-R            ;60211SM4A01ZZ;90-93;ACCORD йпшкн оепедм опюб аег нрб о/онбрнпхрекэ;824;;;;;;;;;;;3
14219;HDACR90-280Y-L           ;33850SM4G13;90-93;ACCORD онбрнпхрекэ онбнпнрю б йпшкн кеб фекр;80;;;;;217-1402L-YA;;;;;;3
14220;HDACR90-280Y-R           ;33800SM4G13;90-93;ACCORD онбрнпхрекэ онбнпнрю б йпшкн опюб фекр;80;;;;;217-1402R-YA;;;;;;3
13451;HDACR90-300-L            ;74151SM4000;90-93;ACCORD ондйпшкнй оепедм йпшкю кеб;305;+;;;;;;;;;;3
13452;HDACR90-300-R            ;74101SM4000;90-93;ACCORD ондйпшкнй оепедм йпшкю опюб;305;+;;;;;;;;;;3
3023;HDACR90-330              ;60100SM4010ZZ;90-93;ACCORD йюонр;3248;;;;;;;;;;;3
13493;HDACR90-340-L            ;60170SM4000;90-93;ACCORD оеркъ йюонрю кеб;250;;;;;;;;;;;3
13494;HDACR90-340-R            ;60120SM4000;90-93;ACCORD оеркъ йюонрю опюб;254;;;;;;;;;;;3
11610;HDACR90-380              ;60400SM4300ZZ;90-93;ACCORD ясоонпр пюдхюрнпю;1799;;;;;;;;;;;3
19695;HDACR90-490-L            ;;90-93;ACCORD юпйю пел.йпшкю гюдм кеб (4 ДБ);1096;;;;;;;;;;;3
19696;HDACR90-490-R            ;;90-93;ACCORD юпйю пел.йпшкю гюдм опюб (4 ДБ);1096;;;;;;;;;;;3
10143;HDACR92-640B             ;71501SM4010;92-93;ACCORD аюлоеп гюдм вепм;1584;;;;;;;;;;;3
11952;HDACR90-740-L            ;33551SM4901;90-91;ACCORD тнмюпэ гюдм бмеьм кеб;564;;;;;317-1902L-US;;;;;;3
11756;HDACR92-740-L            ;33551SM4A03;92-93;ACCORD тнмюпэ гюдм бмеьм кеб;562;;;+;7 ДМ;317-1905L-US;;;;;;3
11953;HDACR90-740-R            ;33501SM4901;90-91;ACCORD тнмюпэ гюдм бмеьм опюб;564;;;;;317-1902R-US;;;;;;3
11580;HDACR92-740-R            ;33501SM4A03;92-93;ACCORD тнмюпэ гюдм бмеьм опюб;466;;;;;317-1905R-US;;;;;;3
11150;HDACR90-810-L            ;51460SM4A03;90-93;ACCORD пшвюц оепедм ондбеяйх кеб бепум;891;;;;;;;;;;;3
11149;HDACR90-810-R            ;51450SM4A03;90-93;ACCORD пшвюц оепедм ондбеяйх опюб бепум;891;;;;;;;;;;;3
11152;HDACR90-811-L            ;51365SM4040;90-93;ACCORD пшвюц оепедм ондбеяйх кеб мхфм;1223;;;+;7 ДМ;;;;;;;3
11151;HDACR90-811-R            ;51355SM4040;90-93;ACCORD пшвюц оепедм ондбеяйх опюб мхфм;1016;;;;;;;;;;;3
13990;HDACR90-910              ;19010PT1901;90-97;ACCORD {CB+CC7+CE+ROVER 600 93-} пюдхюрнп нукюфдем AT 1.8 2 2.2 (KOYO);2798;;;;;;PA080475;;;;;3
13991;HDACR90-911              ;19010PT1004;90-97;ACCORD {CB+CC7+CE} пюдхюрнп нукюфдем MT 1.8 2 2.2 (KOYO);2765;1;;;;;PA080474;;;;;3
11631;HDACR90-912              ;19010PT1001;90-97;ACCORD {CB+CC7+CE+ROVER 600 93-} пюдхюрнп нукюфдем AT 1.8 2 2.2 (2 ПЪД);2313;1;;;;;;;;;62279K;3
12235;HDACR90-913              ;19101PT1906;90-97;ACCORD {CB+CC7+CE+ROVER 600 93-} пюдхюрнп нукюфдем AT 1.8 2 2.2 (1 ПЪД);2178;1;;;;;;;;;;3
17761;HDACR90-915              ;19010PT1003;90-97;ACCORD {CB+CC7+CE+ROVER 600 93-} пюдхюрнп нукюфдем MT 1.8 2 2.2;2126;;;;;;;;;;62282K;3
16270;HDACR90-920              ;19030PT0003/19020PK1901/19015PT0003;90-98;ACCORD {CB+CC+CD+CE} лнрнп+бемрхкърнп  пюдхюр нукюфдем я йнпося (DENSO-рхо);1362;;;;;;;;;;;3
13560;HDACR90-930              ;80100SM1A23;90-93;ACCORD йнмдемяюрнп йнмдхж;1617;1;;;;;;;;;94076TK;3
18702;HDACR90-960-L            ;52350SM4A00;90-93;ACCORD {йпнле я ABS} пшвюц гюдм ондбеяйх кеб мхфм я яюкеимр-акнй;542;;;;;;;;;;;3
18701;HDACR90-960-R            ;52345SM4A00;90-93;ACCORD {йпнле я ABS} пшвюц гюдм ондбеяйх опюб мхфм я яюкеимр-акнй;568;;;;;;;;;;;3
18843;HDACR90-961-L            ;52400SM4A01/52400SM1A03/52400SM1A04;90-97;ACCORD {+ CD/CC7/CE} пшвюц гюдм ондбеяйх кеб бепум я яюкеимр-акнй ьюпнб нонп;548;;;;;;;;;;;3
18842;HDACR90-961-R            ;52390SM4A01/52390SM1A03/52390SM1A04;90-97;ACCORD {+CD/CC7/CE} пшвюц гюдм ондбеяйх опюб бепум я яюкеимр-акнй ьюпнб нонп;548;;;;;;;;;;;3
;;;;;;;;;;;;;;;;4
;HONDA ACCORD CD (94-97);;;;;;;;;;;;;;;2
3027;HDACR94-000-L            ;33150SV4P02;94-;ACCORD {CD} тюпю кеб;1249;;;;;217-1117L-LD;;;;;;3
3028;HDACR94-000-R            ;33100SV4P02;94-;ACCORD {CD} тюпю опюб;1241;1;;;;217-1117R-LD;;;;;;3
13193;HDACR94-001L-L           ;33153SV4003;94-97;ACCORD {CD} тюпю кеб опнгпювм;1208;+;;;;217-1115L-LD-E;;;;;;3
13194;HDACR94-001L-R           ;33103SV4003;94-97;ACCORD {CD} тюпю опюб опнгпювм;1247;1;;;;217-1115R-LD-E;;;;;;3
3029;HDACR94-030-L            ;34350SV4Q20T;94-95;ACCORD {CD} сйюг.онбнпнрю сцкнбни кеб;259;;;+;7 ДМ;217-1526L-AE;;;;;;3
3030;HDACR94-030-R            ;34300SV4Q20T;94-95;ACCORD {CD} сйюг.онбнпнрю сцкнбни опюб;215;;;;;217-1526R-AE;;;;;;3
14223;HDACR94-031H-L           ;34350SV4003;94-97;ACCORD {CD} сйюг.онбнпнрю сцкнбни кеб опнгпюв бмсрпх упнл;202;;;;;217-1521L-AE;;;;;;3
14224;HDACR94-031H-R           ;34300SV4003;94-97;ACCORD {CD} сйюг.онбнпнрю сцкнбни опюб опнгпюв бмсрпх упнл;244;;;+;7 ДМ;217-1521R-AE;;;;;;3
19060;HDACR94-040W-L           ;33350SV4Q02;94-95;ACCORD {CD} сйюг.онбнпнрю мхфм кеб б аюлоеп аек;240;;;+;7 ДМ;217-1613L-AE;;;;;;3
19061;HDACR94-040W-R           ;33300SV4Q02;94-95;ACCORD {CD} сйюг.онбнпнрю мхфм опюб б аюлоеп аек;183;+;;;;217-1613R-AE;;;;;;3
14950;HDACR94-100HB            ;75120SV7A01+75101SV7A01;94-97;ACCORD {CD} пеьерйю пюдхюрнпю V6 упнл-вепм;1023;;;;;;;;;;;3
14908;HDACR94-160X             ;04711SV4000ZZ;94-95;ACCORD {CD} аюлоеп оепедм цпсмр;1155;+;24 яЕМ;;;;;;;;;3
3032;HDACR96-160X             ;04711SV4A90ZZ;96-97;ACCORD {CD} аюлоеп оепедм цпсмр;1122;1;17 яЕМ;;;;;;;;;3
14907;HDACR94-160B             ;04711SV4000ZZ;94-95;ACCORD {CD} аюлоеп оепедм вепм;919;;;;;;;;;;;3
3031;HDACR96-160B             ;04711SV4A90;96-97;ACCORD {CD} аюлоеп оепедм вепм;1045;;;;;;;;;;;3
3033;HDACR94-270-L            ;60261SV4A90ZZ;94-97;ACCORD {CD} йпшкн оепедм кеб аег нрб о/онбрнпхрекэ;736;+;;;;;;;;;;3
3034;HDACR94-270-R            ;60211SV4A90ZZ;94-97;ACCORD {CD} йпшкн оепедм опюб аег нрб о/онбрнпхрекэ;767;+;;;;;;;;;;3
13475;HDACR94-300-L            ;74151SV4010;94-97;ACCORD {CD} ондйпшкнй оепедм йпшкю кеб;189;;;;;;;;;;;3
13476;HDACR94-300-R            ;74151SV4010;94-97;ACCORD {CD} ондйпшкнй оепедм йпшкю опюб;182;;;;;;;;;;;3
3037;HDACR94-330              ;60100SV4010ZZ;94-95;ACCORD {CD} йюонр;2937;+;;;;;;;;;;3
3036;HDACR95-330              ;60100SV7A00ZZ;95-97;ACCORD {CD} йюонр;2718;+;;;;;;;;;;3
13509;HDACR94-340-L            ;60170SM4000;94-01;ACCORD {CD/SHUTTLE/PRELUD 92-} оеркъ йюонрю кеб;266;;;;;;;;;;;3
13510;HDACR94-340-R            ;60120SM4000;94-01;ACCORD {CD/SHUTTLE/PRELUD 92-} оеркъ йюонрю опюб;266;;;;;;;;;;;3
13700;HDACR94-380              ;60400SV4V51ZZ/60400SV4A00ZZ;94-97;ACCORD {CD} ясоонпр пюдхюрнпю;1901;;;;;;;;;;;3
16895;HDACR94-450-L            ;76250SV4Y215/76250SV1A25ZB;94-97;ACCORD {CD} гепйюкн кеб щкейрп (convex);1345;;;;;;;;;;;3
16896;HDACR94-450-R            ;76200SV4Y215/76200SV1A25ZB;94-97;ACCORD {CD} гепйюкн опюб щкейрп (convex);1345;;;;;;;;;;;3
